sku,codigo_fornecedor,atri_codigo_fabricante,active,fornecedor
AUAB001,BOF00099M187,F00099M187,sim,Eletropar
AUAB002,BOF00099M524,F00099M524,sim,Eletropar
AUAB003,BOF00099M600,F00099M600,sim,Eletropar
AUAB006,BOF00099M801,F00099M801,sim,Eletropar
AUAB007,BOF00099M500,F00099M500,sim,Eletropar
AUAB008,BOF00099M200,F00099M200,sim,Eletropar
AUAB009,BOF00099M001,F00099M001,sim,Eletropar
AUAB010,BOF00099M902,F00099M902,sim,Eletropar
AUAB011,BOF00099M150,F00099M150,sim,Eletropar
AUAB013,BOF00099M100,F00099M100,sim,Eletropar
AUAB014,BOF00099M177,F00099M177,sim,Eletropar
AUAB018,BOF00099M102,F00099M102,sim,Eletropar
AUAB020,BOF00099M104,F00099M104,sim,Eletropar
AUAB021,BOF00099M302,F00099M302,sim,Eletropar
AUBA001,BO0261520143,261520143,sim,Eletropar
AUBA002,BO0261520147,261520147,sim,Eletropar
AUBA003,BO0261520149,261520149,sim,Eletropar
AUBA004,BO0261520281,261520281,sim,Eletropar
AUBA005,BO0261520283,261520283,sim,Eletropar
AUBA006,BO0261520287,261520287,sim,Eletropar
AUBA007,BO0261520289,261520289,sim,Eletropar
AUBA008,BO0261520315,261520315,sim,Eletropar
AUBA009,BO0261520381,261520381,sim,Eletropar
AUBA010,BO0261520472,261520472,sim,Eletropar
AUBA011,BO0261500396,261500396,sim,Eletropar
AUBA012,BO0261520130,261520130,sim,Eletropar
AUBA013,BO0261520134,261520134,sim,Eletropar
AUBA014,BO0261520151,261520151,sim,Eletropar
AUBA015,BO0261520215,261520215,sim,Eletropar
AUBA016,BO0261520128,261520128,sim,Eletropar
AUBA017,BO0261520139,261520139,sim,Eletropar
AUBA018,BO0261520211,261520211,sim,Eletropar
AUBA019,BO0261520245,261520245,sim,Eletropar
AUBA020,BO0261520355,261520355,sim,Eletropar
AUBB001,BO0580454093,580454093,sim,Eletropar
AUBB002,BO0580464070,580464070,sim,Eletropar
AUBB003,BO0580454094,580454094,sim,Eletropar
AUBB004,BO0580453481,580453481,sim,Eletropar
AUBB005,BO0580453631,580453631,sim,Eletropar
AUBB006,BO0580454105,580454105,sim,Eletropar
AUBB007,BO0580464116,580464116,sim,Eletropar
AUBB008,BO0580464103,580464103,sim,Eletropar
AUBB009,BO0580464084,580464084,sim,Eletropar
AUBB010,BO0580464089,580464089,sim,Eletropar
AUBB011,BOF000TE0103,F000TE0103,sim,Eletropar
AUBB013,BOF000TE145M,F000TE145M,sim,Eletropar
AUBB014,BOF000TE159A,F000TE159A,sim,Eletropar
AUBB015,BOF000TE145J,F000TE145J,sim,Eletropar
AUBB016,BOF000TE190A,F000TE190A,sim,Eletropar
AUBB017,BOF000TE189A,F000TE189A,sim,Eletropar
AUBB018,BOF000TE145H,F000TE145H,sim,Eletropar
AUBB019,BOF000TE145N,F000TE145N,sim,Eletropar
AUBB020,BOF000TE0120,F000TE0120,sim,Eletropar
AUBB022,BOF000TE1394,F000TE1394,sim,Eletropar
AUBB023,BOF000TE1054,F000TE1054,sim,Eletropar
AUBB024,BOF000TE1055,F000TE1055,sim,Eletropar
AUBB025,BOF000TE1042,F000TE1042,sim,Eletropar
AUBB026,BOF000TE1257,F000TE1257,sim,Eletropar
AUBB027,BOF000TE1501,F000TE1501,sim,Eletropar
AUBB029,BOF000TE1276,F000TE1276,sim,Eletropar
AUBB030,BOF000TE131X,F000TE131X,sim,Eletropar
AUBB031,BOF000TE188E,F000TE188E,sim,Eletropar
AUBB032,BOF000TE164W,F000TE164W,sim,Eletropar
AUBB033,BOF000TE0104,F000TE0104,sim,Eletropar
AUBB035,BOF000TE185T,F000TE185T,sim,Eletropar
AUBB036,BOF000TE1186,F000TE1186,sim,Eletropar
AUBB037,BOF000TE189B,F000TE189B,sim,Eletropar
AUBB038,BOF000TE190B,F000TE190B,sim,Eletropar
AUBB039,BOF000TE189P,F000TE189P,sim,Eletropar
AUBB040,BOF000TE188Z,F000TE188Z,sim,Eletropar
AUBB042,BOF000TE1184,F000TE1184,sim,Eletropar
