"SKU","ESTOQUE","ItmsGrpCod","GrupoItens","U_G2W_Subgrupo","Descr","FirmCode","FirmName","CodeBars","DEP_PRINCIPAL","NcmCode","U_G2W_FonteProd","FONTE","GRUPO_MATERIAS","CURVA","SuppCatNum"
AUPA040,36.000000,143,Autparts,"073",Palheta,1,Auto Impact,"7899766790354",,"8512.90.00","2","2",2,A,PD20
AUPA041,31.000000,143,Autparts,"073",Palheta,1,Auto Impact,"7899766790361",,"8512.90.00","2","2",2,B,PD22
AUGS014,0.000000,143,Autparts,"272",Sensor ABS,25,Gauss,"7899751925945",,"9031.80.99","2","2",-1,B,GS2173
AUGB069,1.000000,143,Autparts,"080",Bico Injetor,25,Gauss,"7899751930147",,"8409.99.69","2","2",-1,C,GI9000
AUGS017,0.000000,143,Autparts,"272",Sensor ABS,25,Gauss,"7899751926256",,"9031.80.99","2","2",-1,C,GS2286
AUGS018,0.000000,143,Autparts,"272",Sensor ABS,25,Gauss,"7899751926263",,"9031.80.99","2","2",-1,C,GS2288
AUGC050,0.000000,143,Autparts,"078",Cabo de Ignição,25,Gauss,"7899751928182",,"8544.30.00","5","5",2,C,GC5070
AUGC051,0.000000,143,Autparts,"078",Cabo de Ignição,25,Gauss,"7899751928199",,"8544.30.00","5","5",-1,B,GC5071
AUGC052,2.000000,143,Autparts,"078",Cabo de Ignição,25,Gauss,"7899751928205",,"8544.30.00","2","2",2,C,GC5072
AUGI171,1.000000,143,Autparts,"113",Bobina de Ignição,25,Gauss,"7899751911832",,"8511.30.20","2","2",-1,A,GC4434
AUGI216,0.000000,143,Autparts,"113",Bobina de Ignição,25,Gauss,"7899751900164",,"8511.30.20","2","2",-1,C,GC4941
AUGI172,0.000000,143,Autparts,"113",Bobina de Ignição,25,Gauss,"7899751924788",,"8511.30.20","2","2",-1,A,GC4437
AUGS715,0.000000,143,Autparts,"081",Atuador de Marcha Lenta,25,Gauss,"7899751907095",,"8481.80.99","2","2",-1,C,GS6040
AUGS698,1.000000,143,Autparts,"108",Sensor de rotação,25,Gauss,"7899751906937",,"9029.10.90","2","2",-1,C,GS8500
AUGR057,0.000000,143,Autparts,"264",Regulador voltagem,25,Gauss,"7898252650141",,"9032.89.11","5","5",-1,C,GA032
AUGS766,0.000000,143,Autparts,"105",Sensor de Detonação,25,Gauss,,,"9031.80.99","2","2",-1,C,GS5176
AUGR174,0.000000,143,Autparts,"264",Regulador voltagem,25,Gauss,"7899751932486",,"9032.89.11","5","5",-1,C,GA356
AUGZ001,2.000000,143,Autparts,"018",Buzina,25,Gauss,"7898252654651",,"8512.30.00","2","2",-1,A,GB1052
AUPR367,0.000000,143,Autparts,"001",Nenhum,-1,- Nenhum fabricante -,,,"8708.99.90","2","2",-1,C,PHU5007
AUGR059,0.000000,143,Autparts,"264",Regulador voltagem,25,Gauss,"7899751900492",,"9032.89.11","5","5",-1,C,GA036
AUPR409,0.000000,143,Autparts,"001",Nenhum,-1,- Nenhum fabricante -,,,"8708.99.90","2","2",-1,C,PWF5002
AULA112,1.000000,143,Autparts,"049",Lanterna traseira,14,Arteb,"7896482545237",,"8512.20.22","0","0",1,C,"460403"
MTGE059,0.000000,143,Autparts,"186",Estator,25,Gauss,"7899751928809",,"8511.90.00","2","2",-1,C,GM16001
MTGE101,0.000000,143,Autparts,"183",Escova,25,Gauss,"7899751930659",,"8511.90.00","2","2",-1,C,GM17015
AUCB049,0.000000,143,Autparts,"078",Cabo de Ignição,5,Bosch,"7891009260631",,"8544.30.00","0","0",1,C,F00099C024
EM176,0.000000,136,VSR,"174",Disco de embreagem,18,Laquila,"7899248168022","04","8714.10.00","2","2",2,B,
MR492,0.000000,136,VSR,"123",Anéis para pistão,18,Laquila,"7899248154476","04","8409.91.16","2","2",2,C,
EM178,0.000000,136,VSR,"174",Disco de embreagem,18,Laquila,"7899248106055","04","8714.10.00","2","2",2,C,
ET137,0.000000,136,VSR,"183",Escova,18,Laquila,"7899248113169","04","8409.91.90","2","2",2,C,
MR795,0.000000,136,VSR,"203",Kit Cilindro,18,Laquila,"7909201028697","04","8409.91.12","2","2",2,C,
MR796,0.000000,136,VSR,"203",Kit Cilindro,18,Laquila,"7909201000891","04","8409.91.12","2","2",2,C,
MR797,0.000000,136,VSR,"203",Kit Cilindro,18,Laquila,"7909201000839","04","8409.91.12","2","2",2,C,
MR798,0.000000,136,VSR,"203",Kit Cilindro,18,Laquila,"7909201001096","04","8409.91.12","2","2",2,A,
FO159,0.000000,136,VSR,"038",Freio,18,Laquila,"7899248167476","04","8714.94.90","2","2",2,A,
IN108,0.000000,136,VSR,"209",Luz e freio,18,Laquila,"7899248148642","04","8536.50.90","2","2",2,C,
PA104,0.000000,136,VSR,"217",Painel de instrumentos,18,Laquila,"7899248179844","04","8714.10.00","2","2",2,C,
PA105,0.000000,136,VSR,"217",Painel de instrumentos,18,Laquila,"7899248141292","04","8714.10.00","2","2",2,C,
MR494,0.000000,136,VSR,"123",Anéis para pistão,18,Laquila,"7899248155008","04","8409.91.16","2","2",2,C,
PA107,0.000000,136,VSR,"217",Painel de instrumentos,18,Laquila,"7899248142626","04","8714.10.00","2","2",2,C,
PD107,0.000000,136,VSR,"266",Pedaleira,18,Laquila,"7899248181717","04","8714.10.00","2","2",2,C,
AUPI009,0.000000,143,Autparts,"075",Ponteira,3,Luzian,,,"8708.92.00","2","2",2,C,P007B
AUAB021,0.000000,143,Autparts,"081",Atuador de Marcha Lenta,5,Bosch,"4047025012157",,"8481.80.99","5","5",1,C,F00099M302
AUPL034,0.000000,143,Autparts,"001",Nenhum,9,Valeo,,,"8512.90.00","2","2",2,C,EV15
AUPO035,0.000000,143,Autparts,"084",Pastilha Orgânica,5,Bosch,,,"8708.30.19","0","0",1,C,"0986BB0270"
AUPO036,0.000000,143,Autparts,"084",Pastilha Orgânica,5,Bosch,,,"8708.30.19","2","2",1,C,"0986BB0279"
AURB022,0.000000,143,Autparts,"100",Regulador de Pressão,5,Bosch,"4047024206953",,"8481.10.00","5","5",-1,C,F000DR9608
GD520,0.000000,136,VSR,"005",Guidões,18,Laquila,"7899248139398","04","8714.10.00","2","2",2,C,
AUSB104,0.000000,143,Autparts,"112",Sonda Lambda,5,Bosch,"4047024158665",,"9027.10.00","2","2",2,C,"258017180"
AURM323,0.000000,143,Autparts,"090",Retrovisor,10,Metagal,,,"7009.10.00","0","0",1,C,RTVE37CR
PN375,0.000000,136,VSR,"004",Pneus,18,Laquila,"8019227242386","04","4011.40.00","2","5",1,C,
TM220,0.000000,136,VSR,"071",Transmissão,18,Laquila,"7899248174917","04","4016.99.90","2","2",2,C,
CP249,0.000000,136,VSR,"006",Capacetes,18,Laquila,"7909201008491","04","6506.10.00","2","2",2,C,
PN376,0.000000,136,VSR,"004",Pneus,18,Laquila,"8019227184662","04","4011.40.00","2","5",1,C,
CP713,0.000000,136,VSR,"006",Capacetes,18,Laquila,"7909201031154","04","6506.10.00","2","5",1,C,
CD103,0.000000,136,VSR,"024",Carburador,18,Laquila,"7899248121386","04","8409.91.18","2","2",2,C,
PN377,0.000000,136,VSR,"004",Pneus,18,Laquila,"8019227205879","04","4011.40.00","2","5",1,C,
MR935,0.000000,136,VSR,"057",Motor,18,Laquila,"7899248132061","04","8409.91.90","2","2",2,C,
CD104,0.000000,136,VSR,"024",Carburador,18,Laquila,"7899248162532","04","8409.91.18","2","2",2,B,
AUGS228,0.000000,143,Autparts,"280",Módulo de Ignição,25,Gauss,"7898541341774",,"9032.89.24","2","2",-1,C,GA2064
MR936,0.000000,136,VSR,"057",Motor,18,Laquila,"7899248132054","04","8409.91.90","2","2",2,C,
CD105,0.000000,136,VSR,"024",Carburador,18,Laquila,"7899248140431","04","8409.91.18","2","2",2,C,
PM394,0.000000,136,VSR,"204",Kit pistão,18,Laquila,"7899248108509","04","8409.91.20","2","2",2,A,
AUGR056,0.000000,143,Autparts,"264",Regulador voltagem,25,Gauss,"7898252650134",,"9032.89.11","5","5",-1,C,GA029
AULM023,0.000000,143,Autparts,"088",Lente,10,Metagal,,,"7009.10.00","0","0",-1,B,RJXM77
AUSB179,0.000000,143,Autparts,"106",Sensor de Fase,5,Bosch,"3165143219959",,"9026.20.90","2","2",-1,C,"261230043"
MTGE103,0.000000,143,Autparts,"183",Escova,25,Gauss,"7899751930673",,"8511.90.00","2","2",-1,C,GM17017
AULM024,0.000000,143,Autparts,"088",Lente,10,Metagal,,,"7009.10.00","0","0",-1,B,RJXM78
AUGB068,0.000000,143,Autparts,"080",Bico Injetor,25,Gauss,"7899751930864",,"8409.99.69","2","2",2,C,GI9403
LU272,0.000000,136,VSR,"051",Luvas,18,Laquila,"7909201037217","04","6216.00.00","2","2",2,C,
AULO016,2.000000,143,Autparts,"207",Lâmpada do farol,4,Osram,,,"8539.21.10","2","2",2,A,LA64193
AULO013,2.000000,143,Autparts,"207",Lâmpada do farol,4,Osram,,,"8539.21.10","2","2",2,A,LA64211
AUPL035,1.000000,143,Autparts,"001",Nenhum,9,Valeo,,,"8512.90.00","2","2",2,C,"578411"
AUCB097,1.000000,143,Autparts,"001",Nenhum,5,Bosch,,,"8544.30.00","0","0",1,C,F00099C103
AUPC033,1.000000,143,Autparts,"097",Pastilha Cerâmica,5,Bosch,"4047024660830",,"8708.30.19","2","2",2,C,F03B050039
AUPL036,2.000000,143,Autparts,"001",Nenhum,9,Valeo,,,"8512.90.00","2","2",2,C,"578412"
AUPL037,2.000000,143,Autparts,"001",Nenhum,9,Valeo,,,"8512.90.00","2","2",2,C,"578413"
AUPL038,2.000000,143,Autparts,"001",Nenhum,9,Valeo,,,"8512.90.00","2","2",2,C,"578414"
AUTB049,1.000000,143,Autparts,"077",Tapete,11,Borcol,,,"4016.99.90","0","0",1,C,"1414411"
AULO012,1.000000,143,Autparts,"207",Lâmpada do farol,4,Osram,,,"8539.21.10","2","2",2,C,"64150NL"
AULD019,4.000000,143,Autparts,"207",Lâmpada do farol,2,Daylux,"7898634130261",,"8539.21.10","1","1",2,C,DAYLUX H9
LC148,1.000000,136,VSR,"145",Cabo do acelerador,18,Laquila,"7899248183940","04","8714.10.00","2","2",2,C,
AUDV004,1.000000,143,Autparts,"118",Engate,23,DNI,,,"8536.69.10","2","2",2,C,DIVERSOS
AULM022,4.000000,143,Autparts,"088",Lente,10,Metagal,,,"7009.10.00","0","0",-1,C,RJUM63
AUPC034,2.000000,143,Autparts,"097",Pastilha Cerâmica,5,Bosch,"4047024499010",,"8708.30.19","2","2",2,C,F03B050004
AUGB067,0.000000,143,Autparts,"080",Bico Injetor,25,Gauss,"7899751907446",,"8409.99.69","2","2",2,C,GI9064
AUPB026,18.000000,143,Autparts,"073",Palheta,5,Bosch,"4047025217293",,"8512.90.00","2","2",1,A,"3397013066"
AULO015,0.000000,143,Autparts,"207",Lâmpada do farol,4,Osram,,,"8539.21.10","2","2",2,B,"64151CBI"
AUGZ002,13.000000,143,Autparts,"018",Buzina,25,Gauss,"7898252654675",,"8512.30.00","2","2",-1,A,GB1054
AUPO034,0.000000,143,Autparts,"084",Pastilha Orgânica,5,Bosch,,,"8708.30.19","2","2",1,C,"0986BB0275"
AULO014,0.000000,143,Autparts,"207",Lâmpada do farol,4,Osram,,,"8539.21.10","2","2",2,A,"64211CBI"
AULO017,1.000000,143,Autparts,"207",Lâmpada do farol,4,Osram,,,"8539.21.10","2","2",2,A,"64193CBL"
AUPA042,15.000000,143,Autparts,"073",Palheta,1,Auto Impact,"7899766790378",,"8512.90.00","2","2",2,B,PD24
AUGL008,8.000000,143,Autparts,"207",Lâmpada do farol,-1,- Nenhum fabricante -,"7899751900447",,"8539.21.10","2","2",-1,B,GL79H8
AUPB024,24.000000,143,Autparts,"073",Palheta,5,Bosch,"4047026048568",,"8512.90.00","2","2",-1,A,"3397016122"
AUGS752,0.000000,143,Autparts,"081",Atuador de Marcha Lenta,25,Gauss,"7899751932110",,"8481.80.99","2","2",-1,B,GS6905
AUPV007,8.000000,143,Autparts,"282",Palheta Traseira,16,Vetor,,,"8512.90.00","2","2",-1,A,PVT12
AUPD028,4.000000,143,Autparts,"073",Palheta,6,Dyna,"7891100352600",,"8512.90.00","0","0",1,B,S526
AUPA006,73.000000,143,Autparts,"073",Palheta,1,Auto Impact,"7899766789952",,"8512.90.00","2","2",2,A,PA18
AUPD082,0.000000,143,Autparts,"282",Palheta Traseira,6,Dyna,,,"8512.90.00","0","0",1,C,"10S"
AUPB040,1.000000,143,Autparts,"282",Palheta Traseira,5,Bosch,"4047025110297",,"8512.90.00","2","2",1,B,"3397011596"
PN181,1.000000,136,VSR,"004",Pneus,18,Laquila,"8019227167788","04","4011.40.00","2","5",1,B,
AUPV039,4.000000,143,Autparts,"282",Palheta Traseira,16,Vetor,,,"8512.90.00","2","2",2,C,PVT12P
AUPD083,4.000000,143,Autparts,"282",Palheta Traseira,6,Dyna,"7891100002017",,"8512.90.00","2","2",-1,C,"201"
AUGS052,0.000000,143,Autparts,"272",Sensor ABS,25,Gauss,"7899751926515",,"9031.80.99","2","2",-1,C,GS2974
AUGB031,2.000000,143,Autparts,"080",Bico Injetor,25,Gauss,"7899751925051",,"8409.99.69","2","2",2,A,GI9211
AUGS120,0.000000,143,Autparts,"275",Sensor velocidade,25,Gauss,"7899751918909",,"8543.20.00","2","2",-1,C,GS1431
AUGA024,1.000000,143,Autparts,"081",Atuador de Marcha Lenta,25,Gauss,"7898541344492",,"8481.80.99","2","2",-1,C,GS6601
AUGS053,3.000000,143,Autparts,"272",Sensor ABS,25,Gauss,"7899751926522",,"9031.80.99","2","2",-1,C,GS2975
AUGB032,0.000000,143,Autparts,"080",Bico Injetor,25,Gauss,"7899751925044",,"8409.99.69","2","2",2,C,GI9212
AUGS147,0.000000,143,Autparts,"105",Sensor de Detonação,25,Gauss,"7898541344232",,"9031.80.99","2","2",-1,C,GS5740
AUGC017,7.000000,143,Autparts,"078",Cabo de Ignição,25,Gauss,"7899751923620",,"8544.30.00","5","5",2,B,GC5020
AUGS170,0.000000,143,Autparts,"106",Sensor de Fase,25,Gauss,"7899751919951",,"9031.80.99","2","2",-1,B,GS9245
AUGS171,3.000000,143,Autparts,"106",Sensor de Fase,25,Gauss,"7899751926881",,"9031.80.99","2","2",-1,C,GS9266
AUGS055,1.000000,143,Autparts,"272",Sensor ABS,25,Gauss,"7899751926546",,"9031.80.99","2","2",-1,C,GS2977
AUGS172,1.000000,143,Autparts,"106",Sensor de Fase,25,Gauss,"7899751926898",,"9031.80.99","2","2",-1,C,GS9288
AUGS173,1.000000,143,Autparts,"106",Sensor de Fase,25,Gauss,"7899751926904",,"9031.80.99","2","2",-1,C,GS9292
AUGS380,1.000000,143,Autparts,"279",Placa de Diodos,25,Gauss,"7898252653029",,"8504.40.21","5","5",-1,B,GA1379
AUGS309,1.000000,143,Autparts,"279",Placa de Diodos,25,Gauss,"7898252650349",,"8504.40.21","5","5",-1,C,GA1277
AUGI091,0.000000,143,Autparts,"113",Bobina de Ignição,25,Gauss,"7899751924573",,"8511.30.20","2","2",-1,A,GC4107
AUGS543,1.000000,143,Autparts,"279",Placa de Diodos,25,Gauss,"7898252653555",,"8504.40.21","5","5",-1,C,GA1761
AUGS661,0.000000,143,Autparts,"108",Sensor de rotação,25,Gauss,"7899751910170",,"9029.10.90","2","2",-1,C,GS8180
AUGR020,1.000000,143,Autparts,"264",Regulador voltagem,25,Gauss,"7899751900706",,"9032.89.11","4","4",2,C,GA837
AUGI093,0.000000,143,Autparts,"113",Bobina de Ignição,25,Gauss,"7899751911528",,"8511.30.20","2","2",-1,C,GC4111
AUGR021,2.000000,143,Autparts,"264",Regulador voltagem,25,Gauss,"7899751901215",,"9032.89.11","4","4",2,C,GA850
AUGI094,0.000000,143,Autparts,"113",Bobina de Ignição,25,Gauss,"7899751906296",,"8511.30.20","2","2",-1,B,GC4114
AUGR022,0.000000,143,Autparts,"264",Regulador voltagem,25,Gauss,"7898541341750",,"9032.89.11","5","5",-1,B,GA858
AUGS268,0.000000,143,Autparts,"279",Placa de Diodos,25,Gauss,"7899751910132",,"8504.40.21","5","5",-1,C,GA1147
AUGS664,0.000000,143,Autparts,"108",Sensor de rotação,25,Gauss,"7898252657881",,"9029.10.90","2","2",-1,C,GS8215
AUGR023,0.000000,143,Autparts,"264",Regulador voltagem,25,Gauss,"7899751907651",,"9032.89.11","5","5",-1,C,GA871
AUGE061,0.000000,143,Autparts,"263",Eletroventilador,25,Gauss,"7899751923330",,"8414.59.90","2","2",-1,B,GE1066
AUGI021,2.000000,143,Autparts,"113",Bobina de Ignição,25,Gauss,"7899751906241",,"8511.30.20","2","2",-1,C,GC4655
AUGI096,0.000000,143,Autparts,"113",Bobina de Ignição,25,Gauss,"7898252657157",,"8511.30.20","2","2",-1,C,GC4116
AUGR024,1.000000,143,Autparts,"264",Regulador voltagem,25,Gauss,"7899751901529",,"9032.89.11","4","4",2,C,GA984
AUGS704,0.000000,143,Autparts,"108",Sensor de rotação,25,Gauss,"7899751926751",,"9029.10.90","2","2",-1,C,GS8712
PA141,0.000000,136,VSR,"217",Painel de instrumentos,18,Laquila,"7899248136205",,"8714.10.00","2","2",2,A,
AUGS705,0.000000,143,Autparts,"108",Sensor de rotação,25,Gauss,"7899751906951",,"9029.10.90","2","2",-1,C,GS8780
AUGR094,0.000000,143,Autparts,"264",Regulador voltagem,25,Gauss,"7899751907521",,"9032.89.11","5","5",-1,C,GA135
AUGR095,0.000000,143,Autparts,"264",Regulador voltagem,25,Gauss,"7899751929813",,"9032.89.11","5","5",-1,C,GA137
AUGV006,2.000000,143,Autparts,"082",Vela de Ignição,25,Gauss,"7898252658987",,"8511.10.00","2","2",2,C,GV5R05-10
AULA034,0.000000,143,Autparts,"049",Lanterna traseira,14,Arteb,"7896482549709",,"8512.20.22","5","5",1,C,"460499"
AUGV008,0.000000,143,Autparts,"082",Vela de Ignição,25,Gauss,"7898541340968",,"8511.10.00","2","2",2,B,GV5R08-11
AUGV009,1.000000,143,Autparts,"082",Vela de Ignição,25,Gauss,"7898252658888",,"8511.10.00","2","2",2,B,GV5R91T-10
