sku,codigo_fornecedor,atri_codigo_fabricante,active,fornecedor
AB101,1550003,nothing,sim,LAQUILA
AB102,1550007,nothing,sim,LAQUILA
AB103,1550014,nothing,sim,LAQUILA
AB104,1550012,nothing,sim,LAQUILA
AD001,AD001,nothing,sim,VSR
AF101,1211833,nothing,sim,LAQUILA
AG101,1550359,nothing,sim,LAQUILA
AG102,1550361,nothing,sim,LAQUILA
AG103,1550364,nothing,sim,LAQUILA
AG104,1550352,nothing,sim,LAQUILA
AG105,1550355,nothing,sim,LAQUILA
AG106,1550230,nothing,sim,LAQUILA
AG107,1550232,nothing,sim,LAQUILA
AG108,1550231,nothing,sim,LAQUILA
AG109,1550020,nothing,sim,LAQUILA
AL101,1575910,nothing,sim,LAQUILA
AL102,1550000,nothing,sim,LAQUILA
AL103,1549007,nothing,sim,LAQUILA
AL104,1549008,nothing,sim,LAQUILA
AR101,1550748,nothing,sim,LAQUILA
AR102,1550368,nothing,sim,LAQUILA
AUAB001,F00099M187,nothing,sim,ELETROPAR
AUAB002,F00099M524,nothing,sim,ELETROPAR
AUAB003,F00099M600,nothing,sim,ELETROPAR
AUAB004,F00099M401,nothing,nao,
AUAB005,F00099M603,nothing,nao,
AUAB006,F00099M801,nothing,sim,ELETROPAR
AUAB007,F00099M500,nothing,sim,ELETROPAR
AUAB008,F00099M200,nothing,sim,ELETROPAR
AUAB009,F00099M001,nothing,sim,ELETROPAR
AUAB010,F00099M902,nothing,sim,ELETROPAR
AUAB011,F00099M150,nothing,sim,ELETROPAR
AUAB012,F00099M635,nothing,nao,
AUAB013,F00099M100,nothing,sim,ELETROPAR
AUAB014,F00099M177,nothing,sim,ELETROPAR
AUAB015,F00099M300,nothing,nao,
AUAB016,132008602,nothing,nao,
AUAB017,280140516,nothing,nao,
AUAB018,F00099M102,nothing,sim,ELETROPAR
AUAB019,F00099M103,nothing,nao,
AUAB020,F00099M104,nothing,sim,ELETROPAR
AUAB021,F00099M302,nothing,sim,ELETROPAR
AUAC001,SKU LIVRE,nothing,nao,
AUAC002,SKU LIVRE,nothing,nao,
AUAC003,16161,nothing,nao,
AUAC004,16088,nothing,nao,
AUAC005,16163,nothing,nao,
AUAC006,SKU LIVRE,nothing,nao,
AUAC007,16091,nothing,nao,
AUAC008,16599,nothing,nao,
AUAC009,SKU LIVRE,nothing,nao,
AUAC010,SKU LIVRE,nothing,nao,
AUAC011,SKU LIVRE,nothing,nao,
AUAC012,16626,nothing,nao,
AUAC013,16531,nothing,nao,
AUAC014,19110,nothing,nao,
AUAC015,16526,nothing,nao,
AUAC016,16527,nothing,nao,
AUAC017,16569,nothing,nao,
AUAC018,17991M,nothing,nao,
AUAC019,16270,nothing,nao,
AUAC020,16537,nothing,nao,
AUAC021,16582,nothing,nao,
AUAC022,16628,nothing,nao,
AUAC023,16543,nothing,nao,
AUAC024,17993M,nothing,nao,
AUAC025,16250,nothing,nao,
AUAC026,16246,nothing,nao,
AUAC027,16592,nothing,nao,
AUAC028,16538,nothing,nao,
AUAC029,16584,nothing,nao,
AUAC030,SKU LIVRE,nothing,nao,
AUAC031,16293,nothing,nao,
AUAC032,16015,nothing,nao,
AUAC033,16620,nothing,nao,
AUAC034,19095,nothing,nao,
AUAC035,SKU LIVRE,nothing,nao,
AUAC036,16001,nothing,nao,
AUAC037,SKU LIVRE,nothing,nao,
AUAC038,SKU LIVRE,nothing,nao,
AUAC039,16532,nothing,nao,
AUAC040,16042,nothing,nao,
AUAC041,16266,nothing,nao,
AUAC042,16515,nothing,nao,
AUAC043,16282,nothing,nao,
AUAC044,16516,nothing,nao,
AUAC045,16627,nothing,nao,
AUAC046,16546,nothing,nao,
AUAC047,1656,nothing,nao,
AUAC048,16594,nothing,nao,
AUAC049,16519,nothing,nao,
AUAC050,16564,nothing,nao,
AUAC051,16231,nothing,nao,
AUAC052,SKU LIVRE,nothing,nao,
AUAC053,SKU LIVRE,nothing,nao,
AUAC054,16629,nothing,nao,
AUAC055,16535,nothing,nao,
AUAC056,SKU LIVRE,nothing,nao,
AUAC057,GP32691,nothing,nao,
AUAC058,GP32477,nothing,nao,
AUAC059,GP30316,nothing,nao,
AUAC060,GL13685,nothing,nao,
AUAC061,GP32276,nothing,nao,
AUAC062,GP52948M,nothing,nao,
AUAC063,GP30346M,nothing,nao,
AUAC064,GP35936M,nothing,nao,
AUAC065,GP30110,nothing,nao,
AUAC066,MP30088,nothing,nao,
AUAC067,GP30112,nothing,nao,
AUAC068,MP27559,nothing,nao,
AUAC069,GP35943M,nothing,nao,
AUAC070,GP32476,nothing,nao,
AUAC071,GP32986,nothing,nao,
AUAC072,GP32913PS,nothing,nao,
AUAC073,GP32867,nothing,nao,
AUAC074,GB48003M,nothing,nao,
AUAC075,GP30314,nothing,nao,
AUAC076,GP30373,nothing,nao,
AUAC077,GP30365,nothing,nao,
AUAC078,GP32348,nothing,nao,
AUAC079,GP30126,nothing,nao,
AUAC080,GP30352PS,nothing,nao,
AUAC081,GP30130,nothing,nao,
AUAC082,G13683,nothing,nao,
AUAC083,GP30318,nothing,nao,
AUAC084,32208,nothing,nao,
AUAC085,GP32801,nothing,nao,
AUAC086,GP30120,nothing,nao,
AUAC087,MP27538,nothing,nao,
AUAC088,GL13081,nothing,nao,
AUAC089,GB27395,nothing,nao,
AUAC090,B47061,nothing,nao,
AUAC091,GB47061,nothing,nao,
AUAC092,GB29945M,nothing,nao,
AUAC093,MP27560,nothing,nao,
AUAC094,GB27471,nothing,nao,
AUAC095,GB47778,nothing,nao,
AUAC096,GB27320,nothing,nao,
AUAC097,B47097,nothing,nao,
AUAC098,GB48167,nothing,nao,
AUAC099,B47099,nothing,nao,
AUAC100,GB1119,nothing,nao,
AUAC101,GL27234,nothing,nao,
AUAC102,GL12380,nothing,nao,
AUAC103,MP27539,nothing,nao,
AUAC104,16249,nothing,nao,
AUAC105,16248,nothing,nao,
AUAC106,16004,nothing,nao,
AUAC107,16271,nothing,nao,
AUAC108,SKU LIVRE,nothing,nao,
AUAC109,16121,nothing,nao,
AUAC110,SKU LIVRE,nothing,nao,
AUAC111,SKU LIVRE,nothing,nao,
AUAC112,SKU LIVRE,nothing,nao,
AUAC113,16512,nothing,nao,
AUAC114,SKU LIVRE,nothing,nao,
AUAC115,16061,nothing,nao,
AUAC116,16062,nothing,nao,
AUAC117,16059,nothing,nao,
AUAC118,16058,nothing,nao,
AUAC119,16060,nothing,nao,
AUAC120,17992M,nothing,nao,
AUAC121,16280,nothing,nao,
AUAC122,SKU LIVRE,nothing,nao,
AUAC123,16279,nothing,nao,
AUAC124,SKU LIVRE,nothing,nao,
AUAC125,16265,nothing,nao,
