sku,active
AB101,sim
AB102,sim
AB103,sim
AB104,sim
AD001,sim
AF101,sim
AG101,sim
AG102,sim
AG103,sim
AG104,sim
AG105,sim
AG106,sim
AG107,sim
AG108,sim
AG109,sim
AL101,sim
AL102,sim
AL103,sim
AL104,sim
AR101,sim
AR102,sim
AUAB001,sim
AUAB002,sim
AUAB003,sim
AUAB004,nao
AUAB005,nao
AUAB006,sim
AUAB007,sim
AUAB008,sim
AUAB009,sim
AUAB010,sim
AUAB011,sim
AUAB012,nao
AUAB013,sim
AUAB014,sim
AUAB015,nao
AUAB016,nao
AUAB017,nao
AUAB018,sim
AUAB019,nao
AUAB020,sim
AUAB021,sim
AUAC001,nao
AUAC002,nao
AUAC003,nao
AUAC004,nao
AUAC005,nao
AUAC006,nao
AUAC007,nao
AUAC008,nao
AUAC009,nao
AUAC010,nao
AUAC011,nao
AUAC012,nao
AUAC013,nao
AUAC014,nao
AUAC015,nao
AUAC016,nao
AUAC017,nao
AUAC018,nao
AUAC019,nao
AUAC020,nao
AUAC021,nao
AUAC022,nao
AUAC023,nao
AUAC024,nao
AUAC025,nao
AUAC026,nao
AUAC027,nao
AUAC028,nao
AUAC029,nao
AUAC030,nao
AUAC031,nao
AUAC032,nao
AUAC033,nao
AUAC034,nao
AUAC035,nao
AUAC036,nao
AUAC037,nao
AUAC038,nao
AUAC039,nao
AUAC040,nao
AUAC041,nao
AUAC042,nao
AUAC043,nao
AUAC044,nao
AUAC045,nao
AUAC046,nao
AUAC047,nao
AUAC048,nao
AUAC049,nao
AUAC050,nao
AUAC051,nao
AUAC052,nao
AUAC053,nao
AUAC054,nao
AUAC055,nao
AUAC056,nao
AUAC057,nao
AUAC058,nao
AUAC059,nao
AUAC060,nao
AUAC061,nao
AUAC062,nao
AUAC063,nao
AUAC064,nao
AUAC065,nao
AUAC066,nao
AUAC067,nao
AUAC068,nao
AUAC069,nao
AUAC070,nao
AUAC071,nao
AUAC072,nao
AUAC073,nao
AUAC074,nao
AUAC075,nao
AUAC076,nao
AUAC077,nao
AUAC078,nao
AUAC079,nao
AUAC080,nao
AUAC081,nao
AUAC082,nao
AUAC083,nao
AUAC084,nao
AUAC085,nao
AUAC086,nao
AUAC087,nao
AUAC088,nao
AUAC089,nao
AUAC090,nao
AUAC091,nao
AUAC092,nao
AUAC093,nao
AUAC094,nao
AUAC095,nao
AUAC096,nao
AUAC097,nao
AUAC098,nao
AUAC099,nao
AUAC100,nao
AUAC101,nao
AUAC102,nao
AUAC103,nao
AUAC104,nao
AUAC105,nao
AUAC106,nao
AUAC107,nao
AUAC108,nao
AUAC109,nao
AUAC110,nao
AUAC111,nao
