sku,desc,active,barCode
AB101,nothing,sim,7899248173347
AB102,nothing,sim,7899248149953
AB103,nothing,sim,7899248169234
AB104,nothing,sim,7899248149991
AD001,nothing,sim,AD001
AF101,nothing,sim,7899248131835
AG101,nothing,sim,7899248131149
AG102,nothing,sim,7899248131132
AG103,nothing,sim,7899248169692
AG104,nothing,sim,7899248126343
AG105,nothing,sim,7899248131125
AG106,nothing,sim,7899248105409
AG107,nothing,sim,7899248105423
AG108,nothing,sim,7899248105416
AG109,nothing,sim,7899248144705
AL101,nothing,sim,7899248183681
AL102,nothing,sim,7899248191501
AL103,nothing,sim,7899248174740
AL104,nothing,sim,7899248174757
AR101,nothing,sim,7899248190900
AR102,nothing,sim,7909201024507
AUAB001,nothing,sim,4047024733367
AUAB002,nothing,sim,7891009309705
AUAB003,nothing,sim,7891009309699
AUAB004,nothing,nao,?
AUAB005,nothing,nao,?
AUAB006,nothing,sim,4047024489134
AUAB007,nothing,sim,4047024733398
AUAB008,nothing,sim,4047024489035
AUAB009,nothing,sim,4047024488953
AUAB010,nothing,sim,4047024733411
AUAB011,nothing,sim,4047024489011
AUAB012,nothing,nao,?
AUAB013,nothing,sim,4047024733336
AUAB014,nothing,sim,4047024733350
AUAB015,nothing,nao,?
AUAB016,nothing,nao,?
AUAB017,nothing,nao,?
AUAB018,nothing,sim,4047024733343
AUAB019,nothing,nao,?
AUAB020,nothing,sim,4047024488991
AUAB021,nothing,sim,4047025012157
AUAC001,nothing,nao,?
AUAC002,nothing,nao,?
AUAC003,nothing,nao,?
AUAC004,nothing,nao,?
AUAC005,nothing,nao,?
AUAC006,nothing,nao,?
AUAC007,nothing,nao,?
AUAC008,nothing,nao,?
AUAC009,nothing,nao,?
AUAC010,nothing,nao,?
AUAC011,nothing,nao,?
AUAC012,nothing,nao,?
AUAC013,nothing,nao,?
AUAC014,nothing,nao,?
AUAC015,nothing,nao,?
AUAC016,nothing,nao,?
AUAC017,nothing,nao,?
AUAC018,nothing,nao,?
AUAC019,nothing,nao,?
AUAC020,nothing,nao,?
AUAC021,nothing,nao,?
AUAC022,nothing,nao,?
AUAC023,nothing,nao,?
AUAC024,nothing,nao,?
AUAC025,nothing,nao,?
AUAC026,nothing,nao,?
AUAC027,nothing,nao,?
AUAC028,nothing,nao,?
AUAC029,nothing,nao,?
AUAC030,nothing,nao,?
AUAC031,nothing,nao,?
AUAC032,nothing,nao,?
AUAC033,nothing,nao,?
AUAC034,nothing,nao,?
