sku,bar_code,desc,tipo_de_veiculo,marca_id,cat_id
"AUBG041","7899751915151","Gauss Bomba de combustível","carro","25","133"
"AUDV023","0","Neolux Nenhum","carro","21","1"
"AUDV024","0","Neolux Nenhum","carro","21","1"
"AUGA040","7899751935418","Gauss Atuador de Marcha Lenta","carro","25","81"
"AUGA041","7899751935401","Gauss Atuador de Marcha Lenta","carro","25","81"
"AUGB108","7899751938167","Gauss Atuador de Marcha Lenta","carro","25","81"
"AUGB109","7899751933209","Gauss Atuador de Marcha Lenta","carro","25","81"
"AUGC101","7899751933377","Gauss Cabo de Ignição","carro","25","78"
"AUGD001","7898252650295","Gauss Diodo","carro","25","289"
"AUGD002","7898252650301","Gauss Diodo","carro","25","289"
"AUGD003","7898252650318","Gauss Diodo","carro","25","289"
"AUGD004","7898252650325","Gauss Diodo","carro","25","289"
"AUGD005","7898252650561","Gauss Diodo","carro","25","289"
"AUGD006","7898252650578","Gauss Diodo","carro","25","289"
"AUGD007","7898252650585","Gauss Diodo","carro","25","289"
"AUGD008","7898252650592","Gauss Diodo","carro","25","289"
"AUGD009","7898252650608","Gauss Diodo","carro","25","289"
"AUGD010","7898252650752","Gauss Diodo","carro","25","289"
"AUGD011","7898252650721","Gauss Diodo","carro","25","289"
"AUGD012","7898252651148","Gauss Diodo","carro","25","289"
"AUGD013","7898252651155","Gauss Diodo","carro","25","289"
"AUGD014","7898252651186","Gauss Diodo","carro","25","289"
"AUGD015","7898252651193","Gauss Diodo","carro","25","289"
"AUGD016","7898252651209","Gauss Diodo","carro","25","289"
"AUGD017","7898252651216","Gauss Diodo","carro","25","289"
"AUGD018","7898252651803","Gauss Diodo","carro","25","289"
"AUGD019","7898252651797","Gauss Diodo","carro","25","289"
"AUGD020","7898252651827","Gauss Diodo","carro","25","289"
"AUGD021","7898252651810","Gauss Diodo","carro","25","289"
"AUGD022","7898252651841","Gauss Diodo","carro","25","289"
"AUGD023","7898252651834","Gauss Diodo","carro","25","289"
"AUGD024","7898252651865","Gauss Diodo","carro","25","289"
"AUGD025","7898252651858","Gauss Diodo","carro","25","289"
"AUGD026","7898252651889","Gauss Diodo","carro","25","289"
"AUGD027","7898252651872","Gauss Diodo","carro","25","289"
"AUGD028","7898252651322","Gauss Diodo","carro","25","289"
"AUGD029","7898252651339","Gauss Diodo","carro","25","289"
"AUGD030","7898252650240","Gauss Triodo","carro","25","290"
"AUGD031","7898252650271","Gauss Triodo","carro","25","290"
"AUGD032","7898252651223","Gauss Triodo","carro","25","290"
"AUGD033","7898252650912","Gauss Triodo","carro","25","290"
"AUGD034","7898252650929","Gauss Triodo","carro","25","290"
"AUGD035","7898541345352","Gauss Triodo","carro","25","290"
"AUGD036","7898541344584","Gauss Triodo","carro","25","290"
"AUGD037","7898541342955","Gauss Triodo","carro","25","290"
"AUGD038","7899751908894","Gauss Triodo","carro","25","290"
"AUGD039","7899751909969","Gauss Triodo","carro","25","290"
"AUGD040","7898252651001","Gauss Triodo","carro","25","290"
"AUGD041","7898252651247","Gauss Isolador","carro","25","288"
"AUGD042","7898541344812","Gauss Isolador","carro","25","288"
"AUGD043","7898541344843","Gauss Condensador","carro","25","164"
"AUGD044","7898541345888","Gauss Condensador","carro","25","164"
"AUGD045","7898252659007","Gauss Escova","carro","25","183"
"AUGD046","7899751906555","Gauss Escova","carro","25","183"
"AUGE092","7899751933360","Gauss Eletroventilador","carro","25","263"
