sku,vehicletype,desc,brandid,categoryid,codigo_fornecedor,ean,gtin
"AB101","moto","Laquila Abraçadeira","18","7","None","8714.10.00","8714.10.00"
"AB102","moto","Laquila Abraçadeira","18","7","None","8714.10.00","8714.10.00"
"AB103","moto","Laquila Abraçadeira","18","7","None","8714.10.00","8714.10.00"
"AB104","moto","Laquila Abraçadeira","18","7","None","8714.10.00","8714.10.00"
"AD001","moto","VSR Adaptador de guidão","17","9","None","8714.10.00","8714.10.00"
"AF101","moto","Laquila Afogador","18","8","None","8409.91.18","8409.91.18"
"AG101","moto","Laquila Adaptador de guidão","18","9","None","8714.10.00","8714.10.00"
"AG102","moto","Laquila Adaptador de guidão","18","9","None","8714.10.00","8714.10.00"
"AG103","moto","Laquila Adaptador de guidão","18","9","None","8714.10.00","8714.10.00"
"AG104","moto","Laquila Adaptador de guidão","18","9","None","8714.10.00","8714.10.00"
"AG105","moto","Laquila Adaptador de guidão","18","9","None","8714.10.00","8714.10.00"
"AG106","moto","Laquila Adaptador de guidão","18","9","None","8714.10.00","8714.10.00"
"AG107","moto","Laquila Adaptador de guidão","18","9","None","8714.10.00","8714.10.00"
"AG108","moto","Laquila Adaptador de guidão","18","9","None","8714.10.00","8714.10.00"
"AG109","moto","Laquila Adaptador de guidão","18","9","None","8714.10.00","8714.10.00"
"AL101","moto","Laquila Apoio de mão","18","124","None","8714.10.00","8714.10.00"
"AL102","moto","Laquila Acelerador Rápido","18","120","None","8714.10.00","8714.10.00"
"AL103","moto","Laquila Acelerador","18","10","None","8714.10.00","8714.10.00"
"AL104","moto","Laquila Acelerador","18","10","None","8714.10.00","8714.10.00"
"AR101","moto","Laquila Adaptador de espelho","18","11","None","8714.10.00","8714.10.00"
"AR102","moto","Laquila Adaptador de espelho","18","11","None","8714.10.00","8714.10.00"
"AUAB001","carro","Bosch Atuador de Marcha Lenta","5","81","F00099M187","8481.80.99","8481.80.99"
"AUAB002","carro","Bosch Atuador de Marcha Lenta","5","81","F00099M524","8481.80.99","8481.80.99"
"AUAB003","carro","Bosch Atuador de Marcha Lenta","5","81","F00099M600","8481.80.99","8481.80.99"
"AUAB004","carro","Bosch Nenhum","5","1","f00099m401","8481.80.99","8481.80.99"
"AUAB005","carro","Bosch Nenhum","5","1","F00099M603","8481.80.99","8481.80.99"
"AUAB006","carro","Bosch Atuador de Marcha Lenta","5","81","F00099M801","8481.80.99","8481.80.99"
"AUAB007","carro","Bosch Atuador de Marcha Lenta","5","81","F00099M500","8481.80.99","8481.80.99"
"AUAB008","carro","Bosch Atuador de Marcha Lenta","5","81","F00099M200","8481.80.99","8481.80.99"
"AUAB009","carro","Bosch Atuador de Marcha Lenta","5","81","F00099M001","8481.80.99","8481.80.99"
"AUAB010","carro","Bosch Atuador de Marcha Lenta","5","81","F00099M902","8481.80.99","8481.80.99"
"AUAB011","carro","Bosch Atuador de Marcha Lenta","5","81","F00099M150","8481.80.99","8481.80.99"
"AUAB012","carro","Bosch Nenhum","5","1","F00099M635","8481.80.99","8481.80.99"
"AUAB013","carro","Bosch Atuador de Marcha Lenta","5","81","F00099M100","8481.80.99","8481.80.99"
"AUAB014","carro","Bosch Atuador de Marcha Lenta","5","81","F00099M177","8481.80.99","8481.80.99"
"AUAB015","carro","Bosch Nenhum","5","1","F00099M300","8481.80.99","8481.80.99"
"AUAB016","carro","Bosch Nenhum","5","1","132008602","8481.80.99","8481.80.99"
"AUAB017","carro","Bosch Nenhum","5","1","280140516","8481.80.99","8481.80.99"
"AUAB018","carro","Bosch Atuador de Marcha Lenta","5","81","F00099M102","8501.10.19","8501.10.19"
"AUAB019","carro","Bosch Nenhum","5","1","F00099M103","8481.80.99","8481.80.99"
"AUAB020","carro","Bosch Atuador de Marcha Lenta","5","81","F00099M104","8481.80.99","8481.80.99"
"AUAB021","carro","Bosch Atuador de Marcha Lenta","5","81","F00099M302","8481.80.99","8481.80.99"
"AUAC001","carro","Cofap Nenhum","12","1","SKU LIVRE","8708.80.00","8708.80.00"
"AUAC002","carro","Cofap Nenhum","12","1","SKU LIVRE","8708.80.00","8708.80.00"
"AUAC003","carro","Cofap Amortecedor Tampa Porta Malas","12","92","16161","8708.29.99","8708.29.99"
"AUAC004","carro","Cofap Amortecedor Tampa Porta Malas","12","92","16088","8708.29.99","8708.29.99"
"AUAC005","carro","Cofap Amortecedor Tampa Porta Malas","12","92","16163","8708.29.99","8708.29.99"
"AUAC006","carro","Cofap Nenhum","12","1","SKU LIVRE","8708.29.99","8708.29.99"
"AUAC007","carro","Cofap Amortecedor Tampa Porta Malas","12","92","16091","8708.29.99","8708.29.99"
"AUAC008","carro","Cofap Amortecedor Tampa Porta Malas","12","92","16599","8708.29.99","8708.29.99"
"AUAC009","carro","Cofap Nenhum","12","1","SKU LIVRE","8708.29.99","8708.29.99"
"AUAC010","carro","Cofap Nenhum","12","1","SKU LIVRE","8708.29.99","8708.29.99"
